"1 ", rss_formula_rss_supreme, no,"0", "07:00.4500", "347.3380", "44.4830", "28.6290",  "F:S - R:S",     "0 ",  
"2 ", rss_formula_rss_supreme, no,"0", "02:39.8350", "88.9370", "42.8180", "28.0800",  "F:S - R:S",     "0 ",  
"3 ", rss_formula_rss_supreme, no,"0", "01:36.9850", "26.8980", "42.1290", "27.9580",  "F:S - R:S",     "0 ",  
"4 ", rss_formula_rss_supreme, no,"0", "03:31.5190", "141.0760", "42.2240", "28.2190",  "F:S - R:S",     "0 ",  
"5 ", rss_formula_rss_supreme, no,"0", "03:03.3260", "112.5770", "42.2870", "28.4620",  "F:S - R:S",     "0 ",  
"6 ", rss_formula_rss_supreme, no,"0", "01:36.2260", "26.8500", "41.8670", "27.5090",  "F:S - R:S",     "0 ",  
Average,,,"03:14.7235", "123.9460", "42.6347", "28.1428"
Best possible,,, "01:36.2260", "26.8500", "41.8670", "27.5090"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"cndelta"
"1 ", rss_formula_rss_supreme, no,"0", "04:06.7670", "174.7450", "41.9620", "30.0600",  "F:S - R:S",     "0 ",  
"2 ", rss_formula_rss_supreme, no,"0", "01:36.2660", "26.7050", "41.7560", "27.8050",  "F:S - R:S",     "0 ",  
"3 ", rss_formula_rss_supreme, no,"0", "02:59.7320", "101.4870", "46.7810", "31.4640",  "F:S - R:S",     "2  (0s e.t. <>  0s gain) ",  
"4 ", rss_formula_rss_supreme, no,"0", "01:36.6580", "26.7420", "42.2680", "27.6480",  "F:S - R:S",     "0 ",  
"5 ", rss_formula_rss_supreme, no,"0", "01:36.0000", "26.7630", "41.5980", "27.6390",  "F:S - R:S",     "1  (0s e.t. <>  0s gain) ",  
Average,,,"02:23.0846", "71.2884", "42.8730", "28.9232"
Best possible,,, "01:35.9420", "26.7050", "41.5980", "27.6390"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Tareek"
"1 ", rss_formula_rss_supreme, no,"0", "04:15.9660", "182.9670", "43.1460", "29.8530",  "F:S - R:S",     "2  (0s e.t. <>  0s gain) ",  
"2 ", rss_formula_rss_supreme, no,"0", "01:37.7390", "26.8550", "42.6070", "28.2770",  "F:S - R:S",     "0 ",  
"3 ", rss_formula_rss_supreme, no,"0", "01:50.8470", "26.8320", "42.8030", "41.2120",  "F:S - R:S",     "2  (0s e.t. <>  0s gain) ",  
"4 ", rss_formula_rss_supreme, no,"0", "01:56.3880", "38.6050", "42.9390", "34.8440",  "F:S - R:S",     "0 ",  
Average,,,"02:25.2351", "68.8148", "42.8738", "33.5465"
Best possible,,, "01:37.7160", "26.8320", "42.6070", "28.2770"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Josh Rivers"
"1 ", rss_formula_rss_supreme, no,"0", "06:12.5700", "300.6550", "43.7090", "28.2060",  "F:S - R:S",     "2  (0s e.t. <>  0s gain) ",  
"2 ", rss_formula_rss_supreme, no,"0", "01:38.3160", "27.3410", "42.7860", "28.1890",  "F:S - R:S",     "0 ",  
"3 ", rss_formula_rss_supreme, no,"0", "01:37.9960", "27.1520", "42.8180", "28.0260",  "F:S - R:S",     "0 ",  
"4 ", rss_formula_rss_supreme, no,"0", "07:31.4860", "379.6750", "43.4210", "28.3900",  "F:S - R:S",     "2  (0s e.t. <>  0s gain) ",  
"5 ", rss_formula_rss_supreme, no,"0", "05:25.3560", "252.8340", "42.6010", "29.9210",  "F:S - R:S",     "0 ",  
"6 ", rss_formula_rss_supreme, no,"0", "01:38.3340", "27.6930", "42.5740", "28.0670",  "F:S - R:S",     "0 ",  
"7 ", rss_formula_rss_supreme, no,"0", "01:38.2340", "26.9990", "42.3050", "28.9300",  "F:S - R:S",     "0 ",  
Average,,,"03:40.3274", "148.9070", "42.8877", "28.5327"
Best possible,,, "01:37.3300", "26.9990", "42.3050", "28.0260"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"gameymanager209"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"whittleyoon"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"bright9"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"bama22x"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"potatolad165"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Neeun_JTS3"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Nahteyue"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"shinywaffles"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"jack0li"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Moskito1116"
No laps for this driver


Practice best laps
'======================
'------------------------
Overall top (20)
'------------------------
Driver, Vehicle, Time, Gap,
"M. Wasik", "rss_formula_rss_supreme", "01:35.4270", ""
"M. Wasik", "rss_formula_rss_supreme", "01:35.4780", "0.051"
"novic", "rss_formula_rss_supreme", "01:35.5690", "0.142"
"novic", "rss_formula_rss_supreme", "01:35.5810", "0.154"
"novic", "rss_formula_rss_supreme", "01:35.6360", "0.209"
"novic", "rss_formula_rss_supreme", "01:35.7440", "0.317"
"novic", "rss_formula_rss_supreme", "01:35.7560", "0.329"
"66rosso66", "rss_formula_rss_supreme", "01:35.9780", "0.551"
"cndelta", "rss_formula_rss_supreme", "01:36.0000", "0.573"
"M. Wasik", "rss_formula_rss_supreme", "01:36.1140", "0.687"
"chichkodibel", "rss_formula_rss_supreme", "01:36.1200", "0.693"
"tangentclamp600", "rss_formula_rss_supreme", "01:36.2260", "0.799"
"novic", "rss_formula_rss_supreme", "01:36.2380", "0.811"
"cndelta", "rss_formula_rss_supreme", "01:36.2660", "0.839"
"chichkodibel", "rss_formula_rss_supreme", "01:36.2940", "0.867"
"chichkodibel", "rss_formula_rss_supreme", "01:36.4580", "1.031"
"chichkodibel", "rss_formula_rss_supreme", "01:36.6280", "1.201"
"cndelta", "rss_formula_rss_supreme", "01:36.6580", "1.231"
"66rosso66", "rss_formula_rss_supreme", "01:36.6610", "1.234"
"chichkodibel", "rss_formula_rss_supreme", "01:36.9200", "1.493"


'------------------------
Per driver
'------------------------
Driver, Vehicle, Time, Gap,
"M. Wasik", "rss_formula_rss_supreme", "01:35.4270", ""
"novic", "rss_formula_rss_supreme", "01:35.5690", "0.142"
"66rosso66", "rss_formula_rss_supreme", "01:35.9780", "0.551"
"chichkodibel", "rss_formula_rss_supreme", "01:36.1200", "0.693"
"tangentclamp600", "rss_formula_rss_supreme", "01:36.2260", "0.799"
"cndelta", "rss_formula_rss_supreme", "01:36.2660", "0.839"
"Tareek", "rss_formula_rss_supreme", "01:37.7390", "2.312"
"Josh Rivers", "rss_formula_rss_supreme", "01:37.9960", "2.569"


Practice consistency
'======================
Driver, Vehicle, Consistency,
"novic", "rss_formula_rss_supreme", "99.73%  0.2607",
"Josh Rivers", "rss_formula_rss_supreme", "99.70%  0.2987",
"chichkodibel", "rss_formula_rss_supreme", "99.53%  0.455",
"66rosso66", "rss_formula_rss_supreme", "97.93%  1.9888",
"M. Wasik", "rss_formula_rss_supreme", "97.45%  2.4355",
"tangentclamp600", "rss_formula_rss_supreme", "-",
"cndelta", "rss_formula_rss_supreme", "-",
"Tareek", "rss_formula_rss_supreme", "-",
"gameymanager209", "rss_formula_rss_supreme", "-",
"whittleyoon", "rss_formula_rss_supreme", "-",
"bright9", "rss_formula_rss_supreme", "-",
"bama22x", "rss_formula_rss_supreme", "-",
"potatolad165", "rss_formula_rss_supreme", "-",
"Neeun_JTS3", "rss_formula_rss_supreme", "-",
"Nahteyue", "rss_formula_rss_supreme", "-",
"shinywaffles", "rss_formula_rss_supreme", "-",
"jack0li", "rss_formula_rss_supreme", "-",
"Moskito1116", "rss_formula_rss_supreme", "-",




Practice sectors
'======================
'------------------------
Sector 1
'------------------------
Driver, Vehicle, Time, Gap,
"M. Wasik", "rss_formula_rss_supreme", "26.4790", "-"
"novic", "rss_formula_rss_supreme", "26.5290", "0.0500"
"66rosso66", "rss_formula_rss_supreme", "26.5980", "0.1190"
"cndelta", "rss_formula_rss_supreme", "26.7050", "0.2260"
"chichkodibel", "rss_formula_rss_supreme", "26.7450", "0.2660"
"Tareek", "rss_formula_rss_supreme", "26.8320", "0.3530"
"tangentclamp600", "rss_formula_rss_supreme", "26.8500", "0.3710"
"Josh Rivers", "rss_formula_rss_supreme", "26.9990", "0.5200"
'------------------------
Sector 2
'------------------------
Driver, Vehicle, Time, Gap,
"novic", "rss_formula_rss_supreme", "41.4530", "-"
"66rosso66", "rss_formula_rss_supreme", "41.5480", "0.0950"
"chichkodibel", "rss_formula_rss_supreme", "41.5900", "0.1370"
"cndelta", "rss_formula_rss_supreme", "41.5980", "0.1450"
"M. Wasik", "rss_formula_rss_supreme", "41.6020", "0.1490"
"tangentclamp600", "rss_formula_rss_supreme", "41.8670", "0.4140"
"Josh Rivers", "rss_formula_rss_supreme", "42.3050", "0.8520"
"Tareek", "rss_formula_rss_supreme", "42.6070", "1.1540"
'------------------------
Sector 3
'------------------------
Driver, Vehicle, Time, Gap,
"M. Wasik", "rss_formula_rss_supreme", "27.2480", "-"
"novic", "rss_formula_rss_supreme", "27.2750", "0.0270"
"tangentclamp600", "rss_formula_rss_supreme", "27.5090", "0.2610"
"chichkodibel", "rss_formula_rss_supreme", "27.5450", "0.2970"
"cndelta", "rss_formula_rss_supreme", "27.6390", "0.3910"
"66rosso66", "rss_formula_rss_supreme", "27.8320", "0.5840"
"Josh Rivers", "rss_formula_rss_supreme", "28.0260", "0.7780"
"Tareek", "rss_formula_rss_supreme", "28.2770", "1.0290"


Practice incidents
'======================
Date, Incident, Worth reviewing
"", "novic reported contact with environment. Impact speed: 100.19312",
"", "novic reported contact with environment. Impact speed: 7.6003923",
"", "Josh Rivers reported contact with environment. Impact speed: 130.5591",
"", "novic reported contact with environment. Impact speed: 65.61319",
"", "Josh Rivers reported contact with environment. Impact speed: 61.15834",
"", "novic reported contact with environment. Impact speed: 142.82782",
"", "novic reported contact with environment. Impact speed: 46.422012",
"", "novic reported contact with environment. Impact speed: 1.857172",
"", "M. Wasik reported contact with environment. Impact speed: 27.359169",
"", "chichkodibel reported contact with environment. Impact speed: 178.32181",
"", "66rosso66 reported contact with environment. Impact speed: 46.77858",
"", "novic reported contact with environment. Impact speed: 107.34697",

Practice cuts
'======================
Date, Lap e.t., Lap, Driver, Cut Time, Time skipped
"", "00:00", "1", "novic", "", ""
"", "00:00", "1", "novic", "", ""
"", "00:00", "1", "novic", "", ""
"", "00:00", "1", "novic", "", ""
"", "00:00", "2", "novic", "", ""
"", "00:00", "2", "novic", "", ""
"", "00:00", "2", "novic", "", ""
"", "00:00", "2", "novic", "", ""
"", "00:00", "7", "novic", "", ""
"", "00:00", "7", "novic", "", ""
"", "00:00", "8", "novic", "", ""
"", "00:00", "10", "novic", "", ""
"", "00:00", "11", "novic", "", ""
"", "00:00", "11", "novic", "", ""
"", "00:00", "2", "66rosso66", "", ""
"", "00:00", "2", "66rosso66", "", ""
"", "00:00", "4", "66rosso66", "", ""
"", "00:00", "3", "chichkodibel", "", ""
"", "00:00", "3", "chichkodibel", "", ""
"", "00:00", "3", "chichkodibel", "", ""
"", "00:00", "3", "chichkodibel", "", ""
"", "00:00", "5", "chichkodibel", "", ""
"", "00:00", "5", "chichkodibel", "", ""
"", "00:00", "6", "chichkodibel", "", ""
"", "00:00", "6", "chichkodibel", "", ""
"", "00:00", "3", "cndelta", "", ""
"", "00:00", "3", "cndelta", "", ""
"", "00:00", "5", "cndelta", "", ""
"", "00:00", "1", "Tareek", "", ""
"", "00:00", "1", "Tareek", "", ""
"", "00:00", "3", "Tareek", "", ""
"", "00:00", "3", "Tareek", "", ""
"", "00:00", "1", "Josh Rivers", "", ""
"", "00:00", "1", "Josh Rivers", "", ""
"", "00:00", "4", "Josh Rivers", "", ""
"", "00:00", "4", "Josh Rivers", "", ""






'+++++++++++++++++++++
Qualify
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Qualify"
Track:, "ks_silverstone, gp"
Pole, "jack0li(01:33.8030)"
Lasted laps, "9"
Host, "Unknown"



Qualify result
'======================
Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "MackaLaren Racing", "rss_formula_rss_supreme", "jack0li", "7", "01:33.8030", "-",
"2",   "", "The Balkan Terrorists", "rss_formula_rss_supreme", "chichkodibel", "8", "01:35.2330", "00:01.4300",
"3",   "", "", "rss_formula_rss_supreme", "novic", "9", "01:35.3140", "00:01.5110",
"4",   "", "", "rss_formula_rss_supreme", "M. Wasik", "8", "01:35.3190", "00:01.5160",
"5",   "", " The Balkan Terrorists", "rss_formula_rss_supreme", "66rosso66", "7", "01:35.9550", "00:02.1520",
"6",   "", "", "rss_formula_rss_supreme", "Josh Rivers", "8", "01:35.9760", "00:02.1730",
"7",   "", "", "rss_formula_rss_supreme", "cndelta", "6", "01:36.0580", "00:02.2550",
"8",   "", "SuperAssBeater", "rss_formula_rss_supreme", "tangentclamp600", "2", "01:36.5860", "00:02.7830",
"9",   "", "", "rss_formula_rss_supreme", "Tareek", "7", "01:37.0520", "00:03.2490",
"10",   "", " Backmarkers HQ", "rss_formula_rss_supreme", "potatolad165", "5", "01:39.9120", "00:06.1090",
"11",   "", "Messi Goat Racing", "rss_formula_rss_supreme", "gameymanager209", "0", "-", "-",
"12",   "", "Backmarkers HQ", "rss_formula_rss_supreme", "whittleyoon", "0", "-", "-",
"13",   "", "MackaLaren Racing", "rss_formula_rss_supreme", "bright9", "0", "-", "-",
"14",   "", "Messi Goat Racing", "rss_formula_rss_supreme", "bama22x", "0", "-", "-",
"15",   "", "", "rss_formula_rss_supreme", "Neeun_JTS3", "0", "-", "-",
"16",   "", "SlowAF", "rss_formula_rss_supreme", "Nahteyue", "0", "-", "-",
"17",   "", "FAT Sim Racing", "rss_formula_rss_supreme", "shinywaffles", "0", "-", "-",
"18",   "", "", "rss_formula_rss_supreme", "Moskito1116", "0", "-", "-",

Qualify laps
'======================
Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"jack0li"
"1 ", rss_formula_rss_supreme, no,"0", "01:59.2550", "43.5570", "42.2270", "33.4710",  "F:S - R:S",     "0 ",  
"2 ", rss_formula_rss_supreme, no,"0", "01:34.4800", "26.2730", "41.1400", "27.0670",  "F:S - R:S",     "0 ",  
"3 ", rss_formula_rss_supreme, no,"0", "01:34.0370", "26.2810", "40.8370", "26.9190",  "F:S - R:S",     "0 ",  
"4 ", rss_formula_rss_supreme, no,"0", "02:46.0570", "97.4540", "41.2390", "27.3640",  "F:S - R:S",     "0 ",  
"5 ", rss_formula_rss_supreme, no,"0", "01:35.0950", "26.3170", "40.8830", "27.8950",  "F:S - R:S",     "0 ",  
"6 ", rss_formula_rss_supreme, no,"0", "03:06.8770", "113.1000", "45.5620", "28.2150",  "F:S - R:S",     "1  (0s e.t. <>  0s gain) ",  
"7 ", rss_formula_rss_supreme, no,"0", "01:33.8030", "26.1780", "40.7880", "26.8370",  "F:S - R:S",     "0 ",  
Average,,,"02:01.3721", "51.3086", "41.8109", "28.2526"
Best possible,,, "01:33.8030", "26.1780", "40.7880", "26.8370"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"chichkodibel"
"1 ", rss_formula_rss_supreme, no,"0", "02:15.1260", "62.8460", "42.1650", "30.1150",  "F:S - R:S",     "0 ",  
"2 ", rss_formula_rss_supreme, no,"0", "01:35.9130", "26.7430", "41.6480", "27.5220",  "F:S - R:S",     "0 ",  
"3 ", rss_formula_rss_supreme, no,"0", "01:35.7050", "26.5810", "41.7150", "27.4090",  "F:S - R:S",     "0 ",  
"4 ", rss_formula_rss_supreme, no,"0", "01:35.2770", "26.5480", "41.4770", "27.2520",  "F:S - R:S",     "0 ",  
"5 ", rss_formula_rss_supreme, no,"0", "01:35.2330", "26.6980", "41.3600", "27.1750",  "F:S - R:S",     "0 ",  
"6 ", rss_formula_rss_supreme, no,"0", "02:11.6130", "57.3800", "42.9490", "31.2840",  "F:S - R:S",     "0 ",  
"7 ", rss_formula_rss_supreme, no,"0", "01:35.7280", "26.7790", "41.5480", "27.4010",  "F:S - R:S",     "1  (0s e.t. <>  0s gain) ",  
"8 ", rss_formula_rss_supreme, no,"0", "01:35.8820", "26.9510", "41.3650", "27.5660",  "F:S - R:S",     "1  (0s e.t. <>  0s gain) ",  
Average,,,"01:45.0597", "35.0658", "41.7784", "28.2155"
Best possible,,, "01:35.0830", "26.5480", "41.3600", "27.1750"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"novic"
"1 ", rss_formula_rss_supreme, no,"0", "02:11.0380", "40.9610", "61.7140", "28.3630",  "F:S - R:S",     "0 ",  
"2 ", rss_formula_rss_supreme, no,"0", "01:36.0440", "26.8030", "41.6200", "27.6210",  "F:S - R:S",     "0 ",  
"3 ", rss_formula_rss_supreme, no,"0", "01:35.9560", "26.9030", "41.6570", "27.3960",  "F:S - R:S",     "0 ",  
"4 ", rss_formula_rss_supreme, no,"0", "01:35.5810", "26.6100", "41.4580", "27.5130",  "F:S - R:S",     "0 ",  
"5 ", rss_formula_rss_supreme, no,"0", "01:35.3650", "26.6500", "41.4230", "27.2920",  "F:S - R:S",     "0 ",  
"6 ", rss_formula_rss_supreme, no,"0", "01:35.3420", "26.6500", "41.3240", "27.3680",  "F:S - R:S",     "0 ",  
"7 ", rss_formula_rss_supreme, no,"0", "02:56.2760", "106.2340", "41.7920", "28.2500",  "F:S - R:S",     "1  (0s e.t. <>  0s gain) ",  
"8 ", rss_formula_rss_supreme, no,"0", "01:35.7090", "26.6150", "41.4860", "27.6080",  "F:S - R:S",     "0 ",  
"9 ", rss_formula_rss_supreme, no,"0", "01:35.3140", "26.5630", "41.3870", "27.3640",  "F:S - R:S",     "0 ",  
Average,,,"01:48.5139", "37.1099", "43.7623", "27.6417"
Best possible,,, "01:35.1790", "26.5630", "41.3240", "27.2920"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"M. Wasik"
"1 ", rss_formula_rss_supreme, no,"0", "01:49.6540", "38.6530", "43.3800", "27.6210",  "F:S - R:S",     "0 ",  
"2 ", rss_formula_rss_supreme, no,"0", "02:55.5060", "103.9740", "41.9850", "29.5470",  "F:S - R:S",     "1  (0s e.t. <>  0s gain) ",  
